idx,rtl,ref,abs_err,rel_err
0,0.0,-0.159423828125,0.159423828125,1.0
1,0.0,-0.20849609375,0.20849609375,1.0
2,0.0,0.0283203125,0.0283203125,1.0
3,-0.159423828125,-0.245849609375,0.08642578125,0.3515392254220457
4,-0.20849609375,-0.18896484375,0.01953125,0.10335917312661498
5,0.0283203125,-0.19384765625,0.22216796875,1.146095717884131
6,-0.245849609375,-0.19189453125,0.053955078125,0.2811704834605598
7,-0.18896484375,-0.18212890625,0.0068359375,0.03753351206434316
8,-0.19384765625,-0.191162109375,0.002685546875,0.0140485312899106
9,-0.19189453125,-0.19580078125,0.00390625,0.0199501246882793
10,-0.18212890625,-0.186279296875,0.004150390625,0.022280471821756225
11,-0.191162109375,-0.18603515625,0.005126953125,0.027559055118110236
12,-0.19580078125,-0.19580078125,0.0,0.0
13,-0.186279296875,-0.19091796875,0.004638671875,0.024296675191815855
14,-0.18603515625,-0.1884765625,0.00244140625,0.012953367875647668
15,-0.19580078125,-0.187255859375,0.008544921875,0.04563233376792699
16,-0.19091796875,-0.18994140625,0.0009765625,0.005141388174807198
17,-0.1884765625,-0.19189453125,0.00341796875,0.017811704834605598
18,-0.187255859375,-0.18115234375,0.006103515625,0.03369272237196765
19,-0.18994140625,-0.18994140625,0.0,0.0
20,-0.19189453125,-0.19091796875,0.0009765625,0.005115089514066497
21,-0.18115234375,-0.183837890625,0.002685546875,0.014608233731739707
22,-0.18994140625,-0.18310546875,0.0068359375,0.037333333333333336
23,-0.19091796875,-0.188720703125,0.002197265625,0.01164294954721863
24,-0.183837890625,-0.193359375,0.009521484375,0.04924242424242424
25,-0.18310546875,-0.18798828125,0.0048828125,0.025974025974025976
26,-0.188720703125,-0.1806640625,0.008056640625,0.0445945945945946
27,-0.193359375,-0.18994140625,0.00341796875,0.017994858611825194
28,-0.18798828125,-0.197509765625,0.009521484375,0.048207663782447466
29,-0.1806640625,-0.183837890625,0.003173828125,0.017264276228419653
30,-0.18994140625,-0.18701171875,0.0029296875,0.015665796344647518
31,-0.197509765625,-0.1943359375,0.003173828125,0.016331658291457288
32,-0.183837890625,-0.187255859375,0.00341796875,0.018252933507170794
33,-0.18701171875,-0.192626953125,0.005615234375,0.029150823827629912
34,-0.1943359375,-0.173583984375,0.020751953125,0.11954992967651196
35,-0.187255859375,-0.1943359375,0.007080078125,0.0364321608040201
36,-0.192626953125,-0.202392578125,0.009765625,0.04825090470446321
37,-0.173583984375,-0.181884765625,0.00830078125,0.04563758389261745
38,-0.1943359375,-0.1953125,0.0009765625,0.005
39,-0.202392578125,-0.1767578125,0.025634765625,0.14502762430939226
40,-0.181884765625,-0.172119140625,0.009765625,0.05673758865248227
41,-0.1953125,-0.20751953125,0.01220703125,0.058823529411764705
42,-0.1767578125,-0.19189453125,0.01513671875,0.07888040712468193
43,-0.172119140625,-0.171630859375,0.00048828125,0.002844950213371266
44,-0.20751953125,-0.187744140625,0.019775390625,0.10533159947984395
45,-0.19189453125,-0.182861328125,0.009033203125,0.049399198931909215
46,-0.171630859375,-0.1953125,0.023681640625,0.12125
47,-0.187744140625,-0.177978515625,0.009765625,0.05486968449931413
48,-0.182861328125,-0.177734375,0.005126953125,0.028846153846153848
49,-0.1953125,-0.197998046875,0.002685546875,0.013563501849568433
50,-0.177978515625,-0.181884765625,0.00390625,0.021476510067114093
51,-0.177734375,-0.1884765625,0.0107421875,0.05699481865284974
52,-0.197998046875,-0.185791015625,0.01220703125,0.0657030223390276
53,-0.181884765625,-0.178955078125,0.0029296875,0.01637107776261937
54,-0.1884765625,-0.18017578125,0.00830078125,0.04607046070460705
55,-0.185791015625,-0.14794921875,0.037841796875,0.25577557755775576
56,-0.178955078125,-0.156005859375,0.02294921875,0.14710485133020346
57,-0.18017578125,-0.163330078125,0.016845703125,0.1031390134529148
58,-0.14794921875,-0.1640625,0.01611328125,0.09821428571428571
59,-0.156005859375,-0.134521484375,0.021484375,0.15970961887477314
60,-0.163330078125,-0.119140625,0.044189453125,0.3709016393442623
61,-0.1640625,-0.109619140625,0.054443359375,0.49665924276169265
62,-0.134521484375,-0.114990234375,0.01953125,0.16985138004246284
63,-0.119140625,-0.1591796875,0.0400390625,0.25153374233128833
64,-0.109619140625,-0.124267578125,0.0146484375,0.11787819253438114
65,-0.114990234375,-0.121826171875,0.0068359375,0.056112224448897796
66,-0.1591796875,-0.1328125,0.0263671875,0.19852941176470587
67,-0.124267578125,-0.129150390625,0.0048828125,0.03780718336483932
68,-0.121826171875,-0.114990234375,0.0068359375,0.059447983014861996
69,-0.1328125,-0.12109375,0.01171875,0.0967741935483871
70,-0.129150390625,-0.144775390625,0.015625,0.10792580101180438
71,-0.114990234375,-0.158447265625,0.04345703125,0.27426810477657937
72,-0.12109375,-0.141845703125,0.020751953125,0.14629948364888123
73,-0.144775390625,-0.13134765625,0.013427734375,0.10223048327137546
74,-0.158447265625,-0.089599609375,0.06884765625,0.7683923705722071
75,-0.141845703125,-0.1083984375,0.033447265625,0.30855855855855857
76,-0.13134765625,-0.1064453125,0.02490234375,0.23394495412844038
77,-0.089599609375,-0.11865234375,0.029052734375,0.2448559670781893
78,-0.1083984375,-0.109375,0.0009765625,0.008928571428571428
79,-0.1064453125,-0.108642578125,0.002197265625,0.020224719101123594
80,-0.11865234375,-0.145751953125,0.027099609375,0.18592964824120603
81,-0.109375,-0.140625,0.03125,0.2222222222222222
82,-0.108642578125,-0.12890625,0.020263671875,0.1571969696969697
83,-0.145751953125,-0.16259765625,0.016845703125,0.1036036036036036
84,-0.140625,-0.15087890625,0.01025390625,0.06796116504854369
85,-0.12890625,-0.107421875,0.021484375,0.2
86,-0.16259765625,-0.218017578125,0.055419921875,0.2541993281075028
87,-0.15087890625,-0.201416015625,0.050537109375,0.2509090909090909
88,-0.107421875,-0.225830078125,0.118408203125,0.5243243243243243
89,-0.218017578125,-0.130859375,0.087158203125,0.6660447761194029
90,-0.201416015625,-0.118896484375,0.08251953125,0.6940451745379876
91,-0.225830078125,-0.126708984375,0.09912109375,0.7822736030828517
92,-0.130859375,-0.132080078125,0.001220703125,0.009242144177449169
93,-0.118896484375,-0.134033203125,0.01513671875,0.11293260473588343
94,-0.126708984375,-0.143798828125,0.01708984375,0.11884550084889643
95,-0.132080078125,-0.13330078125,0.001220703125,0.009157509157509158
96,-0.134033203125,-0.143798828125,0.009765625,0.06791171477079797
97,-0.143798828125,-0.14013671875,0.003662109375,0.02613240418118467
98,-0.13330078125,-0.13916015625,0.005859375,0.042105263157894736
99,-0.143798828125,-0.13232421875,0.011474609375,0.08671586715867159
